index,category,country,longitude,latitude,cloud_cover,year,month,day
0,tunnel_opening,PRK,125.9379985428,39.11128435542,0,2010,5,1
1,tunnel_opening,PRK,125.9379985428,39.11128435542,0,2010,5,1
2,tunnel_opening,PRK,125.9379985428,39.11128435542,0,2010,12,13
3,tunnel_opening,CHN,108.9490400428,34.000635290780004,0,2010,12,19
4,tunnel_opening,CHN,112.2504667424,23.7692810066,1,2012,10,22
5,tunnel_opening,CHN,115.9940971424,29.704754465259995,8,2010,9,20
6,tunnel_opening,CHN,115.9940971424,29.704754465259995,3,2007,7,29
7,tunnel_opening,CHN,120.7068462424,27.9391898899,7,2012,9,17
8,tunnel_opening,CHN,120.7068462424,27.9391898899,8,2010,9,18
9,tunnel_opening,CHN,119.2801313424,28.65780270166,0,2011,11,24
10,tunnel_opening,CHN,119.2801313424,28.65780270166,1,2011,11,25
11,tunnel_opening,CHN,119.2801313424,28.65780270166,0,2012,9,30
12,tunnel_opening,CHN,118.3706401424,29.3901109299,5,2010,11,14
13,tunnel_opening,CHN,120.5611165424,27.650224917360006,2,2008,7,1
14,tunnel_opening,CHN,120.5611165424,27.650224917360006,0,2012,10,15
15,tunnel_opening,CHN,105.4305460424,35.71241906388001,0,2012,11,12
16,tunnel_opening,CHN,119.6687606418,27.87977326858,1,2012,11,27
17,tunnel_opening,PRK,126.6323753424,37.96138736998,0,2011,1,28
18,tunnel_opening,PRK,126.6323753424,37.96138736998,0,2011,2,9
19,tunnel_opening,PRK,126.6323753424,37.96138736998,0,2011,2,9
20,tunnel_opening,PRK,126.6323753424,37.96138736998,0,2011,1,12
21,tunnel_opening,PRK,126.6323753424,37.96138736998,0,2010,9,7
22,tunnel_opening,PRK,126.6323753424,37.96138736998,0,2011,10,31
23,tunnel_opening,PRK,126.6323753424,37.96138736998,0,2010,5,7
24,tunnel_opening,PRK,126.6323753424,37.96138736998,0,2012,1,10
25,tunnel_opening,CHN,112.8383748424,26.99106760706,0,2011,2,7
26,tunnel_opening,CHN,112.8383748424,26.99106760706,1,2010,9,17
27,tunnel_opening,CHN,114.1947617424,22.55947471274,0,2010,11,3
28,tunnel_opening,CHN,114.1947617424,22.55947471274,0,2010,11,3
29,tunnel_opening,CHN,119.8516832428,28.51335125204,0,2011,11,24
30,tunnel_opening,CHN,118.35487544240002,29.31769204798,5,2010,11,14
